#SUBMITTED ID	DOI	ISSUE	PAGES	PARENT_PUBLICATION_TITLE	PUBLICATION_TYPE	PUBMED_ID	RELATED_PUBLICATIONS	VOLUME
FBrf0225357	10.1242/jeb.102129	12	2201--2211	Journal of Experimental Biology	paper	24737760	FBrf0228281	217
FBrf0237788	10.1242/jeb.172023	2	jeb172023	Journal of Experimental Biology	paper	29146771	-	221
FBrf0191901	10.1242/jeb.001586	6	956--963	Journal of Experimental Biology	paper	17337708	-	210
FBrf0215957	10.1242/jeb.008649	2	239--257	Journal of Experimental Biology	paper	18165252	-	211
FBrf0219138	10.1242/jeb.071290	17	2960--2968	Journal of Experimental Biology	paper	22875765	-	215
FBrf0240938	10.1242/jeb.191429	24	jeb191429	Journal of Experimental Biology	paper	30355611	-	221
FBrf0226524	10.1242/jeb.106294	20	3664--3669	Journal of Experimental Biology	paper	25147243	-	217
FBrf0001708	-	-	204--211	Journal of Experimental Biology	paper	-	-	5
FBrf0200969	10.1242/jeb.02755	8	1424--1434	Journal of Experimental Biology	paper	17401125	-	210
FBrf0014021	-	-	679--684	Journal of Experimental Biology	paper	-	-	38
FBrf0144976	-	3	345--358	Journal of Experimental Biology	paper	11854371	-	205
FBrf0211979	10.1242/jeb.044867	20	3441--3448	Journal of Experimental Biology	paper	20889824	-	213
FBrf0225178	10.1242/jeb.099184	11	1918--1924	Journal of Experimental Biology	paper	24625644	-	217
FBrf0194354	10.1242/jeb.02244	12	2344--2361	Journal of Experimental Biology	review	16731811	-	209
FBrf0001999	-	-	370--372	Journal of Experimental Biology	paper	-	-	7
FBrf0139735	-	19	3323--3331	Journal of Experimental Biology	paper	11606606	-	204
FBrf0141625	-	20	3403--3409	Journal of Experimental Biology	review	11707492	-	204
FBrf0092727	-	3	615--624	Journal of Experimental Biology	paper	9057311	-	200
FBrf0238315	10.1242/jeb.163881	Suppl 1	jeb163881	Journal of Experimental Biology	review	29514880	-	221
FBrf0024167	-	1	79--104	Journal of Experimental Biology	paper	-	-	56
FBrf0184112	-	19	VI	Journal of Experimental Biology	note	-	-	207
FBrf0194991	-	19	iii	Journal of Experimental Biology	note	-	-	209
FBrf0223389	10.1242/jeb.093120	23	4334--4340	Journal of Experimental Biology	paper	24259256	-	216
FBrf0180453	10.1242/jeb.01266	Pt 24	4269--4281	Journal of Experimental Biology	paper	15531648	-	207
FBrf0089676	-	8	1711--1726	Journal of Experimental Biology	paper	8708578	-	199
FBrf0234953	10.1242/jeb.151522	5	900--907	Journal of Experimental Biology	paper	28062579	-	220
FBrf0004331	-	-	225--234	Journal of Experimental Biology	paper	-	-	15
FBrf0208829	10.1242/jeb.031179	19	3132--3141	Journal of Experimental Biology	paper	19749106	-	212
FBrf0226745	10.1242/jeb.110510	22	3996--4003	Journal of Experimental Biology	paper	25392459	-	217
FBrf0234382	10.1242/jeb.141457	1	35--41	Journal of Experimental Biology	review	28057826	-	220
FBrf0212867	10.1242/jeb.049353	4	680--686	Journal of Experimental Biology	paper	21270318	-	214
FBrf0201549	10.1242/jeb.006924	20	3547--3558	Journal of Experimental Biology	paper	17921156	-	210
FBrf0162216	10.1242/jeb.00585	19	3521--3528	Journal of Experimental Biology	paper	12939382	-	206
FBrf0233846	10.1242/jeb.141002	20	3237--3245	Journal of Experimental Biology	paper	27591313	-	219
FBrf0206706	10.1242/jeb.024224	3	435--445	Journal of Experimental Biology	review	19151219	-	212
FBrf0088635	-	1	77--97	Journal of Experimental Biology	paper	6058982	-	47
FBrf0223878	10.1242/jeb.091769	2	290--298	Journal of Experimental Biology	paper	24115062	-	217
FBrf0018820	-	-	383--392	Journal of Experimental Biology	paper	6040087	-	46
FBrf0222381	10.1242/jeb.087650	17	3301--3313	Journal of Experimental Biology	paper	23926311	-	216
FBrf0209846	10.1242/jeb.038778	4	602--612	Journal of Experimental Biology	paper	20118311	-	213
FBrf0202432	10.1242/jeb.012435	1	15--23	Journal of Experimental Biology	paper	18083727	-	211
FBrf0058944	-	-	149--167	Journal of Experimental Biology	paper	8486998	-	177
FBrf0001830	-	-	161--166	Journal of Experimental Biology	paper	-	-	6
