#SUBMITTED ID	DOI	ISSUE	PAGES	PARENT_PUBLICATION_TITLE	PUBLICATION_TYPE	PUBMED_ID	RELATED_PUBLICATIONS	VOLUME
FBrf0226838	10.1242/jcs.151787	21	4634--4644	Journal of Cell Science	paper	25217625	-	127
FBrf0220865	10.1242/jcs.113506	23	5881--5886	Journal of Cell Science	paper	22976301	-	125
FBrf0201713	10.1242/jcs.006833	12	1990--1997	Journal of Cell Science	paper	17519285	-	120
FBrf0212012	10.1242/jcs.073890	20	3515--3524	Journal of Cell Science	paper	20841382	-	123
FBrf0187830	10.1242/jcs.02410	12	2671--2682	Journal of Cell Science	paper	15928044	-	118
FBrf0201682	10.1242/jcs.03417	7	1189--1199	Journal of Cell Science	paper	17341581	-	120
FBrf0213795	10.1242/jcs.082024	12	1984--1991	Journal of Cell Science	paper	21586609	FBrf0214513	124
FBrf0190963	10.1242/jcs.02831	6	1184--1195	Journal of Cell Science	paper	16507588	FBrf0194796	119
FBrf0093632	-	8	945--954	Journal of Cell Science	paper	9152020	-	110
FBrf0215895	10.1242/jcs.025726	10	1649--1660	Journal of Cell Science	paper	18430781	-	121
FBrf0209910	10.1242/jcs.060731	4	627--633	Journal of Cell Science	paper	20145002	-	123
FBrf0218431	10.1242/jcs.096800	8	1980--1990	Journal of Cell Science	paper	22328496	-	125
FBrf0238186	10.1242/jcs.211441	4	jcs211441	Journal of Cell Science	paper	29361550	-	131
FBrf0112063	-	23	4389--4396	Journal of Cell Science	paper	10564656	-	112
FBrf0038297	-	-	351--364	Journal of Cell Science	paper	6185516	-	57
FBrf0228517	10.1242/jcs.164830	10	1877--1886	Journal of Cell Science	review	25690008	-	128
FBrf0226742	10.1242/jcs.155424	22	4918--4926	Journal of Cell Science	paper	25236598	-	127
FBrf0187838	10.1242/jcs.02454	15	3305--3315	Journal of Cell Science	paper	16079276	-	118
FBrf0021730	-	-	177--194	Journal of Cell Science	paper	5461429	-	6
FBrf0048437	-	3	431--438	Journal of Cell Science	paper	3151490	-	91
FBrf0193296	10.1242/jcs.02960	Pt 11	2332--2341	Journal of Cell Science	paper	16723739	-	119
FBrf0139886	-	13	2357--2358	Journal of Cell Science	review	11559744	-	114
FBrf0232918	10.1242/jcs.185942	14	2726--2731	Journal of Cell Science	paper	27235419	-	129
FBrf0236270	10.1242/jcs.203455	15	2506--2519	Journal of Cell Science	paper	28606990	-	130
